257	in6addr_any	in6addr_any, in6addr_loopback — IPv6 address variables
258	inet_addr	inet_addr, inet_ntoa — IPv4 address manipulation
259	inet_ntop	inet_ntop, inet_pton — convert IPv4 and IPv6 addresses between binary and text form
260	initstate	initstate, random, setstate, srandom — pseudo-random number functions
261	insque	insque, remque — insert or remove an element in a queue
262	isalnum	isalnum, isalnum_l — test for an alphanumeric character
263	isalpha	isalpha, isalpha_l — test for an alphabetic character
264	isatty	isatty — test for a terminal device
265	isblank	isblank, isblank_l — test for a blank character
266	iscntrl	iscntrl, iscntrl_l — test for a control character
267	isdigit	isdigit, isdigit_l — test for a decimal digit
268	isfinite	isfinite — test for finite value
269	isgraph	isgraph, isgraph_l — test for a visible character
270	isgreater	isgreater, isgreaterequal, isless, islessequal, islessgreater — real-floating relational tests
271	isinf	isinf — test for infinity
272	islower	islower, islower_l — test for a lowercase letter
273	isnan	isnan — test for a NaN
274	isnormal	isnormal — test for a normal value
275	isprint	isprint, isprint_l — test for a printable character
276	ispunct	ispunct, ispunct_l — test for a punctuation character
277	isspace	isspace, isspace_l — test for a white-space character
278	isunordered	isunordered — test if arguments are unordered
279	isupper	isupper, isupper_l — test for an uppercase letter
280	iswalnum	iswalnum, iswalnum_l — test for an alphanumeric wide-character code
281	iswalpha	iswalpha, iswalpha_l — test for an alphabetic wide-character code
282	iswblank	iswblank, iswblank_l — test for a blank wide-character code
283	iswcntrl	iswcntrl, iswcntrl_l — test for a control wide-character code
284	iswctype	iswctype, iswctype_l — test character for a specified class
285	iswdigit	iswdigit, iswdigit_l — test for a decimal digit wide-character code
286	iswgraph	iswgraph, iswgraph_l — test for a visible wide-character code
287	iswlower	iswlower, iswlower_l — test for a lowercase letter wide-character code
288	iswprint	iswprint, iswprint_l — test for a printable wide-character code
289	iswpunct	iswpunct, iswpunct_l — test for a punctuation wide-character code
290	iswspace	iswspace, iswspace_l — test for a white-space wide-character code
291	iswupper	iswupper, iswupper_l — test for an uppercase letter wide-character code
292	iswxdigit	iswxdigit, iswxdigit_l — test for a hexadecimal digit wide-character code
293	isxdigit	isxdigit, isxdigit_l — test for a hexadecimal digit
294	j0	j0, j1, jn — Bessel functions of the first kind
295	kill	kill — send a signal to a process or a group of processes
296	kill_dependency	kill_dependency — terminate a dependency chain
297	killpg	killpg — send a signal to a process group
298	labs	labs, llabs — return a long integer absolute value
299	lchown	lchown — change the owner and group of a symbolic link
300	ldexp	ldexp, ldexpf, ldexpl — load exponent of a floating-point number
301	ldiv	ldiv, lldiv — compute quotient and remainder of a long division
302	lgamma	lgamma, lgammaf, lgammal, signgam — log gamma function
303	link	link, linkat — hard link one file to another file
304	lio_listio	lio_listio — list directed I/O
305	listen	listen — listen for socket connections and limit the queue of incoming connections
306	llrint	llrint, llrintf, llrintl — round to the nearest integer value using current rounding direction
307	llround	llround, llroundf, llroundl — round to nearest integer value
308	localeconv	localeconv — return locale-specific information
309	localtime	localtime, localtime_r — convert a time value to a broken-down local time
310	lockf	lockf — record locking on files
311	log	log, logf, logl — natural logarithm function
312	log10	log10, log10f, log10l — base 10 logarithm function
313	log1p	log1p, log1pf, log1pl — compute a natural logarithm
314	log2	log2, log2f, log2l — compute base 2 logarithm functions
315	logb	logb, logbf, logbl — radix-independent exponent
316	longjmp	longjmp — non-local goto
317	lrint	lrint, lrintf, lrintl — round to nearest integer value using current rounding direction
318	lround	lround, lroundf, lroundl — round to nearest integer value
319	lsearch	lsearch, lfind — linear search and update
320	lseek	lseek — move the read/write file offset
321	malloc	malloc — a memory allocator
322	mblen	mblen — get number of bytes in a character
323	mbrlen	mbrlen — get number of bytes in a character (restartable)
324	mbrtoc16	mbrtoc16, mbrtoc32 — convert a character to a Unicode character code (restartable)
325	mbrtowc	mbrtowc — convert a character to a wide-character code (restartable)
326	mbsinit	mbsinit — determine conversion object status
327	mbsrtowcs	mbsnrtowcs, mbsrtowcs — convert a character string to a wide-character string (restartable)
328	mbstowcs	mbstowcs — convert a character string to a wide-character string
329	mbtowc	mbtowc — convert a character to a wide-character code
330	memccpy	memccpy — copy bytes in memory
331	memchr	memchr — find byte in memory
332	memcmp	memcmp — compare bytes in memory
333	memcpy	memcpy — copy bytes in memory
334	memmem	memmem — find a byte subsequence in a byte sequence
335	memmove	memmove — copy bytes in memory with overlapping areas
336	memset	memset — set bytes in memory
337	mkdir	mkdir, mkdirat — make a directory
338	mkdtemp	mkdtemp, mkostemp, mkstemp — create a unique directory or file
